order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,category,sub_category,product_name,sales,quantity,discount,profit
ORD-1016,2022-01-01,2022-01-14,Same Day,CU-6046,Customer 479,Consumer,Central,Texas,Furniture,Tables,Tables Product 23,2634.52,4,0.15,296.69
ORD-1017,2019-04-12,2019-04-20,Same Day,CU-5846,Customer 931,Consumer,East,Massachusetts,Technology,Phones,Phones Product 12,1829.3,6,0.1,396.71
ORD-1018,2021-12-18,2021-12-23,First Class,CU-3454,Customer 395,Consumer,East,Pennsylvania,Technology,Phones,Phones Product 87,5076.78,10,0.2,727.08
ORD-1019,2022-08-22,2022-08-28,Same Day,CU-3168,Customer 907,Consumer,South,Florida,Office Supplies,Storage,Storage Product 69,2530.53,8,0.25,289.54
ORD-1020,2020-03-01,2020-03-09,Standard Class,CU-7514,Customer 525,Corporate,Central,Ohio,Technology,Accessories,Accessories Product 44,1674.77,2,0.1,248.64
ORD-1021,2019-06-08,2019-06-20,Second Class,CU-1277,Customer 12,Home Office,Central,Ohio,Furniture,Tables,Tables Product 22,962.98,2,0.0,47.84
ORD-1022,2020-05-18,2020-05-31,Standard Class,CU-1354,Customer 169,Consumer,West,California,Furniture,Bookcases,Bookcases Product 96,383.95,1,0.0,46.9
ORD-1023,2021-08-15,2021-08-16,Standard Class,CU-8566,Customer 471,Home Office,West,Washington,Office Supplies,Paper,Paper Product 86,8067.63,9,0.0,1299.09
ORD-1024,2019-04-03,2019-04-15,Standard Class,CU-1020,Customer 885,Consumer,East,Pennsylvania,Office Supplies,Paper,Paper Product 66,5510.53,10,0.0,741.14
ORD-1025,2020-05-14,2020-05-27,Standard Class,CU-5462,Customer 879,Consumer,Central,Texas,Office Supplies,Storage,Storage Product 12,5382.35,6,0.0,1019.26
ORD-1026,2019-12-23,2019-12-25,First Class,CU-4104,Customer 443,Corporate,West,Oregon,Furniture,Chairs,Chairs Product 26,2018.24,10,0.0,56.63
ORD-1027,2022-07-08,2022-07-19,First Class,CU-2235,Customer 753,Corporate,West,California,Furniture,Bookcases,Bookcases Product 59,5406.29,6,0.0,495.06
ORD-1028,2021-03-15,2021-03-17,Same Day,CU-7997,Customer 273,Corporate,West,Oregon,Office Supplies,Binders,Binders Product 4,1076.42,4,0.0,81.7
ORD-1029,2019-04-21,2019-04-29,Second Class,CU-5573,Customer 100,Consumer,East,Massachusetts,Technology,Computers,Computers Product 87,1871.37,5,0.0,317.62
ORD-1030,2021-08-30,2021-09-05,Second Class,CU-4589,Customer 967,Consumer,East,Massachusetts,Office Supplies,Binders,Binders Product 11,7081.85,8,0.0,1018.03
ORD-1031,2021-09-20,2021-10-04,Same Day,CU-8500,Customer 683,Corporate,South,North Carolina,Technology,Phones,Phones Product 66,321.9,3,0.0,38.44
ORD-1032,2021-03-05,2021-03-09,Second Class,CU-7112,Customer 892,Corporate,South,North Carolina,Technology,Accessories,Accessories Product 37,114.05,6,0.0,19.75
ORD-1033,2022-06-19,2022-06-23,Second Class,CU-3409,Customer 798,Corporate,East,Pennsylvania,Furniture,Chairs,Chairs Product 28,3468.3,7,0.0,551.59
ORD-1034,2020-11-20,2020-11-22,First Class,CU-6544,Customer 612,Consumer,Central,Texas,Technology,Phones,Phones Product 91,2662.85,10,0.25,570.81
ORD-1035,2019-03-28,2019-04-10,First Class,CU-3048,Customer 168,Consumer,West,California,Furniture,Bookcases,Bookcases Product 66,7708.07,8,0.0,68.55
ORD-1036,2022-02-16,2022-02-17,Standard Class,CU-1807,Customer 226,Home Office,West,California,Office Supplies,Storage,Storage Product 68,4047.18,9,0.0,338.3
ORD-1037,2020-04-19,2020-04-23,Standard Class,CU-4714,Customer 506,Consumer,West,California,Office Supplies,Paper,Paper Product 36,221.79,7,0.0,20.74
ORD-1038,2021-07-11,2021-07-23,Standard Class,CU-5698,Customer 858,Home Office,South,Florida,Technology,Computers,Computers Product 38,2379.99,3,0.0,501.35
ORD-1039,2019-04-09,2019-04-13,Standard Class,CU-8252,Customer 596,Consumer,South,North Carolina,Furniture,Bookcases,Bookcases Product 94,671.91,3,0.0,33.07
ORD-1040,2021-10-08,2021-10-12,Standard Class,CU-6412,Customer 635,Consumer,West,Washington,Furniture,Tables,Tables Product 89,8925.79,10,0.0,1218.71
ORD-1041,2020-09-24,2020-10-08,Standard Class,CU-1557,Customer 337,Consumer,East,New York,Technology,Computers,Computers Product 42,7559.14,10,0.0,870.25
ORD-1042,2019-07-21,2019-07-27,Standard Class,CU-2722,Customer 141,Consumer,West,California,Furniture,Tables,Tables Product 88,1799.18,2,0.0,124.64
ORD-1043,2020-02-09,2020-02-20,First Class,CU-3747,Customer 763,Consumer,West,California,Furniture,Tables,Tables Product 32,4577.55,6,0.0,389.52
ORD-1044,2021-02-01,2021-02-06,First Class,CU-4006,Customer 313,Corporate,South,Georgia,Office Supplies,Paper,Paper Product 73,1837.32,9,0.25,290.54
ORD-1045,2019-08-23,2019-08-29,Same Day,CU-9732,Customer 347,Home Office,West,Washington,Office Supplies,Binders,Binders Product 33,5573.84,9,0.0,1115.37
ORD-1046,2022-08-21,2022-08-31,Second Class,CU-3328,Customer 306,Home Office,South,Florida,Office Supplies,Storage,Storage Product 24,92.93,1,0.0,22.51
ORD-1047,2019-02-10,2019-02-24,First Class,CU-3077,Customer 983,Consumer,South,Florida,Office Supplies,Paper,Paper Product 27,1032.89,8,0.0,100.68
ORD-1048,2021-02-14,2021-02-22,First Class,CU-1928,Customer 339,Consumer,East,New York,Furniture,Chairs,Chairs Product 46,7822.16,8,0.0,911.35
ORD-1049,2022-09-11,2022-09-23,Second Class,CU-7411,Customer 464,Corporate,South,North Carolina,Technology,Phones,Phones Product 84,154.65,1,0.0,26.84
ORD-1050,2019-01-17,2019-01-18,First Class,CU-1675,Customer 620,Corporate,West,Oregon,Office Supplies,Paper,Paper Product 43,3619.7,5,0.25,455.92
ORD-1051,2022-05-10,2022-05-17,Second Class,CU-5852,Customer 143,Corporate,Central,Texas,Technology,Accessories,Accessories Product 53,4875.97,8,0.0,915.5
ORD-1052,2020-02-19,2020-02-27,Standard Class,CU-5499,Customer 85,Consumer,East,Massachusetts,Technology,Accessories,Accessories Product 93,1089.52,3,0.0,192.35
ORD-1053,2021-06-07,2021-06-20,Standard Class,CU-3484,Customer 628,Corporate,Central,Texas,Office Supplies,Binders,Binders Product 9,2247.31,3,0.0,304.96
ORD-1054,2020-07-25,2020-08-05,Second Class,CU-9250,Customer 192,Home Office,South,Florida,Office Supplies,Binders,Binders Product 8,7054.61,10,0.15,493.83
ORD-1055,2019-05-02,2019-05-07,Second Class,CU-9722,Customer 694,Home Office,South,North Carolina,Office Supplies,Binders,Binders Product 26,2208.02,8,0.2,349.49
ORD-1056,2021-09-23,2021-10-05,Second Class,CU-7688,Customer 470,Consumer,South,Florida,Furniture,Chairs,Chairs Product 33,1180.19,7,0.15,104.44
ORD-1057,2021-07-30,2021-08-07,Second Class,CU-4649,Customer 997,Home Office,East,New York,Technology,Phones,Phones Product 38,1067.22,3,0.0,136.69
ORD-1058,2022-02-24,2022-03-01,Same Day,CU-8557,Customer 911,Consumer,South,Georgia,Technology,Accessories,Accessories Product 94,4989.1,5,0.0,1007.18
ORD-1059,2020-11-07,2020-11-09,Standard Class,CU-7117,Customer 466,Home Office,Central,Ohio,Furniture,Chairs,Chairs Product 79,5854.75,8,0.0,417.06
ORD-1060,2020-04-17,2020-04-26,Second Class,CU-7925,Customer 129,Consumer,South,Florida,Office Supplies,Binders,Binders Product 20,730.74,5,0.0,124.16
ORD-1061,2019-11-03,2019-11-15,Second Class,CU-7864,Customer 945,Corporate,East,Massachusetts,Furniture,Chairs,Chairs Product 69,461.11,2,0.0,45.96
ORD-1062,2019-12-03,2019-12-13,Second Class,CU-4980,Customer 890,Corporate,South,North Carolina,Office Supplies,Storage,Storage Product 100,3434.14,6,0.0,267.59
ORD-1063,2020-09-10,2020-09-11,Second Class,CU-2631,Customer 611,Corporate,Central,Illinois,Furniture,Bookcases,Bookcases Product 33,1231.58,5,0.0,66.31
ORD-1064,2021-07-18,2021-07-27,Same Day,CU-5290,Customer 580,Consumer,West,Oregon,Furniture,Tables,Tables Product 94,328.27,10,0.0,18.59
ORD-1065,2019-09-16,2019-09-25,Same Day,CU-3659,Customer 889,Home Office,Central,Texas,Furniture,Chairs,Chairs Product 56,1398.0,4,0.2,158.59
ORD-1066,2021-10-25,2021-10-27,Same Day,CU-6382,Customer 887,Consumer,East,Pennsylvania,Furniture,Bookcases,Bookcases Product 62,2928.99,6,0.15,315.66
ORD-1067,2021-03-16,2021-03-20,Same Day,CU-9354,Customer 931,Corporate,East,Pennsylvania,Office Supplies,Storage,Storage Product 73,5767.14,6,0.0,189.64
ORD-1068,2019-01-10,2019-01-23,Same Day,CU-6926,Customer 698,Consumer,South,North Carolina,Office Supplies,Paper,Paper Product 21,288.39,1,0.0,61.21
ORD-1069,2020-09-06,2020-09-07,Second Class,CU-6413,Customer 165,Consumer,East,Massachusetts,Furniture,Bookcases,Bookcases Product 1,961.9,8,0.0,111.63
ORD-1070,2022-06-23,2022-06-30,Standard Class,CU-8083,Customer 577,Home Office,South,Georgia,Office Supplies,Paper,Paper Product 30,1456.72,2,0.0,163.85
ORD-1071,2019-11-27,2019-12-07,Standard Class,CU-2411,Customer 322,Consumer,Central,Illinois,Office Supplies,Storage,Storage Product 41,1701.61,2,0.0,26.63
ORD-1072,2020-04-20,2020-04-30,Second Class,CU-9477,Customer 200,Home Office,West,Washington,Furniture,Chairs,Chairs Product 41,6920.17,10,0.0,1556.27
ORD-1073,2020-03-14,2020-03-18,Standard Class,CU-3451,Customer 517,Corporate,South,Florida,Technology,Computers,Computers Product 65,553.13,7,0.0,83.93
ORD-1074,2022-01-19,2022-01-29,Same Day,CU-9141,Customer 944,Corporate,South,Georgia,Technology,Computers,Computers Product 91,2833.75,8,0.0,335.92
ORD-1075,2019-09-25,2019-10-09,First Class,CU-2950,Customer 426,Corporate,South,North Carolina,Furniture,Chairs,Chairs Product 68,1413.15,2,0.25,142.94
ORD-1076,2021-02-13,2021-02-19,Second Class,CU-1694,Customer 334,Corporate,Central,Ohio,Office Supplies,Storage,Storage Product 90,3683.58,4,0.0,388.06
ORD-1077,2022-02-26,2022-03-04,First Class,CU-2954,Customer 781,Home Office,East,Pennsylvania,Furniture,Bookcases,Bookcases Product 9,643.64,10,0.0,26.35
ORD-1078,2022-08-12,2022-08-17,Same Day,CU-8366,Customer 100,Consumer,Central,Texas,Technology,Phones,Phones Product 26,1146.5,3,0.0,124.82
ORD-1079,2021-05-21,2021-06-04,Same Day,CU-9340,Customer 73,Corporate,South,Florida,Office Supplies,Paper,Paper Product 84,3802.35,10,0.0,668.44
ORD-1080,2021-10-11,2021-10-17,First Class,CU-5583,Customer 638,Consumer,East,Pennsylvania,Office Supplies,Paper,Paper Product 64,2835.59,4,0.0,439.16
ORD-1081,2021-05-08,2021-05-17,Same Day,CU-7643,Customer 498,Corporate,West,Washington,Furniture,Chairs,Chairs Product 33,2280.12,8,0.1,367.31
ORD-1082,2022-04-10,2022-04-19,Standard Class,CU-3302,Customer 872,Consumer,West,Washington,Technology,Computers,Computers Product 44,3295.96,9,0.0,643.74
ORD-1083,2022-01-12,2022-01-15,Second Class,CU-8404,Customer 750,Consumer,Central,Illinois,Office Supplies,Binders,Binders Product 97,1711.6,3,0.25,146.6
ORD-1084,2020-09-28,2020-10-03,Same Day,CU-2337,Customer 661,Consumer,East,Pennsylvania,Office Supplies,Binders,Binders Product 53,4872.88,8,0.25,408.71
ORD-1085,2021-09-08,2021-09-13,Second Class,CU-4133,Customer 901,Consumer,West,Washington,Office Supplies,Paper,Paper Product 19,3873.89,6,0.0,514.82
ORD-1086,2022-10-04,2022-10-12,First Class,CU-6526,Customer 286,Consumer,West,Washington,Technology,Phones,Phones Product 100,1582.47,4,0.0,232.15
ORD-1087,2020-03-09,2020-03-14,Second Class,CU-4154,Customer 796,Consumer,Central,Illinois,Office Supplies,Storage,Storage Product 39,2584.33,4,0.25,73.26
ORD-1088,2019-11-19,2019-11-21,Second Class,CU-8398,Customer 642,Corporate,South,Florida,Office Supplies,Storage,Storage Product 5,1299.49,2,0.25,71.85
ORD-1089,2022-02-20,2022-03-03,Standard Class,CU-5106,Customer 87,Home Office,Central,Illinois,Office Supplies,Storage,Storage Product 90,1323.7,9,0.0,261.35
ORD-1090,2021-05-20,2021-06-01,First Class,CU-5674,Customer 852,Consumer,East,Pennsylvania,Furniture,Tables,Tables Product 1,887.65,4,0.0,53.13
ORD-1091,2020-05-20,2020-05-25,First Class,CU-9077,Customer 882,Home Office,Central,Texas,Technology,Accessories,Accessories Product 87,6053.67,7,0.0,1264.15
ORD-1092,2022-04-02,2022-04-14,Standard Class,CU-1835,Customer 483,Corporate,West,Washington,Furniture,Bookcases,Bookcases Product 16,4051.55,10,0.0,147.5
ORD-1093,2022-09-11,2022-09-19,Second Class,CU-3185,Customer 742,Consumer,East,New York,Office Supplies,Storage,Storage Product 35,4355.01,9,0.0,602.42
ORD-1094,2021-01-29,2021-02-01,Second Class,CU-3342,Customer 80,Corporate,Central,Texas,Furniture,Bookcases,Bookcases Product 32,1006.38,2,0.0,123.14
ORD-1095,2020-02-23,2020-03-07,Standard Class,CU-9920,Customer 853,Corporate,West,Washington,Technology,Phones,Phones Product 5,2668.85,3,0.0,273.92
ORD-1096,2019-01-09,2019-01-13,First Class,CU-4333,Customer 261,Corporate,West,California,Technology,Accessories,Accessories Product 53,5778.14,9,0.0,862.14
ORD-1097,2021-03-15,2021-03-18,Second Class,CU-7354,Customer 619,Corporate,South,Florida,Furniture,Tables,Tables Product 45,546.86,5,0.1,69.33
ORD-1098,2021-11-09,2021-11-12,First Class,CU-9621,Customer 523,Home Office,South,Florida,Office Supplies,Paper,Paper Product 20,3538.9,5,0.0,451.27
ORD-1099,2021-08-31,2021-09-02,Second Class,CU-9378,Customer 210,Corporate,East,Massachusetts,Office Supplies,Storage,Storage Product 81,6869.78,8,0.0,388.84
ORD-1100,2020-10-03,2020-10-14,Same Day,CU-1294,Customer 265,Consumer,West,Oregon,Office Supplies,Binders,Binders Product 65,172.02,4,0.0,17.4
ORD-1101,2020-07-29,2020-08-10,Standard Class,CU-3272,Customer 339,Consumer,South,North Carolina,Technology,Accessories,Accessories Product 6,267.5,2,0.0,33.85
ORD-1102,2019-05-11,2019-05-18,Second Class,CU-7913,Customer 906,Consumer,South,North Carolina,Office Supplies,Storage,Storage Product 28,3526.5,5,0.0,251.31
ORD-1103,2020-07-19,2020-07-26,Standard Class,CU-7862,Customer 598,Corporate,West,Washington,Furniture,Bookcases,Bookcases Product 44,1620.09,2,0.0,218.8
ORD-1104,2022-11-16,2022-11-25,Standard Class,CU-1774,Customer 461,Consumer,Central,Texas,Office Supplies,Paper,Paper Product 69,1364.88,2,0.0,189.25
ORD-1105,2019-02-14,2019-02-17,Second Class,CU-3952,Customer 540,Corporate,West,Washington,Technology,Computers,Computers Product 19,5093.54,10,0.1,595.57
ORD-1106,2019-11-04,2019-11-16,First Class,CU-2785,Customer 580,Consumer,West,Oregon,Technology,Phones,Phones Product 31,1106.06,4,0.0,156.4
ORD-1107,2021-07-16,2021-07-23,Same Day,CU-6017,Customer 112,Consumer,East,New York,Furniture,Tables,Tables Product 77,1018.92,10,0.0,105.99
ORD-1108,2020-03-20,2020-03-30,Standard Class,CU-9566,Customer 465,Consumer,South,North Carolina,Furniture,Chairs,Chairs Product 5,157.77,7,0.0,24.77
ORD-1109,2021-02-04,2021-02-11,First Class,CU-8637,Customer 981,Corporate,East,Pennsylvania,Office Supplies,Storage,Storage Product 56,5122.38,8,0.0,336.7
ORD-1110,2022-10-13,2022-10-16,Second Class,CU-3908,Customer 749,Consumer,East,New York,Office Supplies,Binders,Binders Product 30,1430.9,2,0.0,78.18
ORD-1111,2019-03-26,2019-04-02,Standard Class,CU-8169,Customer 118,Home Office,Central,Ohio,Furniture,Bookcases,Bookcases Product 47,358.9,1,0.0,7.45
ORD-1112,2021-05-31,2021-06-10,First Class,CU-9059,Customer 795,Corporate,South,North Carolina,Furniture,Chairs,Chairs Product 27,4778.48,9,0.0,711.3
ORD-1113,2020-07-21,2020-07-25,Standard Class,CU-3092,Customer 757,Home Office,Central,Ohio,Office Supplies,Paper,Paper Product 53,123.47,6,0.0,16.74
ORD-1114,2022-11-03,2022-11-11,Second Class,CU-1397,Customer 595,Corporate,South,Florida,Technology,Computers,Computers Product 100,4512.96,6,0.0,1036.41
ORD-1115,2020-11-20,2020-11-21,First Class,CU-5731,Customer 614,Home Office,West,Washington,Furniture,Chairs,Chairs Product 50,6451.57,9,0.2,1061.36
ORD-1116,2021-10-10,2021-10-18,Standard Class,CU-6705,Customer 56,Consumer,West,Oregon,Technology,Phones,Phones Product 38,1436.46,8,0.0,241.72
ORD-1117,2020-09-11,2020-09-20,Second Class,CU-2010,Customer 143,Consumer,Central,Texas,Office Supplies,Storage,Storage Product 92,3395.23,9,0.0,480.27
ORD-1118,2021-11-15,2021-11-16,First Class,CU-9779,Customer 613,Home Office,Central,Illinois,Furniture,Bookcases,Bookcases Product 54,2003.95,10,0.0,186.53
ORD-1119,2022-11-04,2022-11-14,First Class,CU-7019,Customer 670,Consumer,South,Georgia,Technology,Computers,Computers Product 42,5433.14,6,0.0,919.33
ORD-1120,2020-12-10,2020-12-15,First Class,CU-7728,Customer 891,Consumer,East,Massachusetts,Furniture,Tables,Tables Product 16,645.85,3,0.0,50.5
ORD-1121,2020-12-11,2020-12-23,First Class,CU-5607,Customer 190,Home Office,West,Oregon,Technology,Phones,Phones Product 22,7196.31,10,0.0,860.72
ORD-1122,2019-11-27,2019-12-01,First Class,CU-7158,Customer 326,Consumer,East,Pennsylvania,Technology,Phones,Phones Product 15,3644.3,7,0.25,521.64
ORD-1123,2022-11-17,2022-11-24,First Class,CU-3006,Customer 637,Corporate,Central,Illinois,Furniture,Bookcases,Bookcases Product 64,5426.72,7,0.2,67.25
ORD-1124,2019-05-12,2019-05-18,First Class,CU-8658,Customer 993,Corporate,East,Massachusetts,Office Supplies,Storage,Storage Product 1,7502.36,8,0.0,564.02
ORD-1125,2019-12-19,2019-12-30,Standard Class,CU-7234,Customer 386,Home Office,South,Georgia,Office Supplies,Binders,Binders Product 25,44.51,1,0.25,2.33
ORD-1126,2019-02-26,2019-03-05,Same Day,CU-8583,Customer 113,Corporate,South,Florida,Technology,Phones,Phones Product 61,747.09,10,0.0,170.3
ORD-1127,2022-05-22,2022-05-23,Same Day,CU-3615,Customer 649,Consumer,East,Massachusetts,Technology,Phones,Phones Product 62,841.78,8,0.0,121.58
ORD-1128,2019-10-26,2019-11-02,Second Class,CU-5023,Customer 510,Consumer,West,Oregon,Furniture,Chairs,Chairs Product 49,3303.73,7,0.2,359.0
ORD-1129,2019-04-09,2019-04-12,Same Day,CU-5917,Customer 845,Consumer,East,Pennsylvania,Furniture,Chairs,Chairs Product 10,186.7,1,0.0,12.07
ORD-1130,2022-06-20,2022-06-23,Same Day,CU-4225,Customer 649,Home Office,South,North Carolina,Furniture,Tables,Tables Product 11,6066.59,7,0.0,470.0
ORD-1131,2022-10-30,2022-11-02,First Class,CU-1214,Customer 798,Home Office,South,North Carolina,Furniture,Bookcases,Bookcases Product 27,3640.78,9,0.15,537.59
ORD-1132,2021-02-15,2021-02-19,Standard Class,CU-7467,Customer 803,Corporate,West,Washington,Furniture,Tables,Tables Product 55,1986.89,2,0.0,133.97
ORD-1133,2020-07-29,2020-08-03,First Class,CU-8595,Customer 159,Consumer,Central,Illinois,Technology,Accessories,Accessories Product 46,6157.97,10,0.0,1141.45
ORD-1134,2020-10-05,2020-10-09,First Class,CU-9482,Customer 595,Corporate,Central,Texas,Office Supplies,Binders,Binders Product 95,107.43,7,0.0,10.02
ORD-1135,2020-04-11,2020-04-15,Standard Class,CU-2684,Customer 736,Home Office,East,Pennsylvania,Technology,Computers,Computers Product 81,422.06,1,0.0,56.45
ORD-1136,2020-05-03,2020-05-04,Standard Class,CU-7406,Customer 477,Corporate,East,Massachusetts,Technology,Accessories,Accessories Product 12,3475.27,5,0.15,368.05
ORD-1137,2020-01-08,2020-01-09,Same Day,CU-1243,Customer 518,Corporate,Central,Texas,Furniture,Chairs,Chairs Product 61,1738.54,2,0.0,71.33
ORD-1138,2019-07-12,2019-07-23,Standard Class,CU-8547,Customer 621,Home Office,West,California,Office Supplies,Paper,Paper Product 70,1668.11,2,0.0,238.73
ORD-1139,2021-10-04,2021-10-14,Second Class,CU-9574,Customer 394,Home Office,Central,Texas,Furniture,Bookcases,Bookcases Product 46,1147.62,4,0.0,67.47
ORD-1140,2020-07-03,2020-07-05,Second Class,CU-8068,Customer 813,Corporate,East,Massachusetts,Technology,Accessories,Accessories Product 31,4797.29,6,0.0,873.96
ORD-1141,2022-05-01,2022-05-12,First Class,CU-6670,Customer 75,Consumer,West,Washington,Office Supplies,Paper,Paper Product 17,5442.7,10,0.0,669.05
ORD-1142,2022-08-08,2022-08-11,Same Day,CU-5271,Customer 880,Corporate,East,Massachusetts,Furniture,Chairs,Chairs Product 12,8807.73,10,0.0,1138.88
ORD-1143,2019-07-08,2019-07-14,Same Day,CU-7863,Customer 227,Consumer,West,Oregon,Furniture,Chairs,Chairs Product 29,96.91,1,0.0,13.75
ORD-1144,2020-12-13,2020-12-16,Same Day,CU-3394,Customer 880,Home Office,West,Oregon,Office Supplies,Paper,Paper Product 74,7696.18,8,0.0,862.4
ORD-1145,2019-11-29,2019-12-01,First Class,CU-1642,Customer 319,Corporate,East,New York,Technology,Accessories,Accessories Product 74,629.9,4,0.0,115.17
ORD-1146,2021-04-14,2021-04-26,Standard Class,CU-2925,Customer 756,Corporate,West,Washington,Office Supplies,Binders,Binders Product 48,3164.41,4,0.1,135.38
ORD-1147,2022-04-20,2022-04-30,First Class,CU-8226,Customer 98,Consumer,East,Massachusetts,Office Supplies,Paper,Paper Product 54,1417.57,7,0.2,219.75
ORD-1148,2019-07-03,2019-07-14,First Class,CU-4732,Customer 32,Home Office,West,Washington,Furniture,Tables,Tables Product 5,896.96,4,0.0,60.36
ORD-1149,2019-08-09,2019-08-14,Standard Class,CU-3249,Customer 258,Home Office,West,California,Office Supplies,Binders,Binders Product 74,4035.55,5,0.0,539.53
ORD-1150,2020-01-31,2020-02-08,Standard Class,CU-4198,Customer 834,Corporate,Central,Texas,Furniture,Bookcases,Bookcases Product 66,5183.46,6,0.0,176.37
ORD-1151,2019-09-05,2019-09-15,Same Day,CU-5826,Customer 664,Home Office,South,Georgia,Furniture,Tables,Tables Product 81,734.32,10,0.1,91.75
ORD-1152,2021-09-07,2021-09-21,Second Class,CU-9092,Customer 362,Consumer,West,Washington,Office Supplies,Paper,Paper Product 4,2878.74,3,0.0,623.34
ORD-1153,2020-05-14,2020-05-24,Second Class,CU-9789,Customer 718,Corporate,East,Massachusetts,Office Supplies,Storage,Storage Product 46,572.5,9,0.15,115.75
ORD-1154,2021-07-12,2021-07-26,Same Day,CU-9636,Customer 762,Corporate,South,Florida,Furniture,Tables,Tables Product 50,4460.18,8,0.0,513.51
ORD-1155,2021-02-16,2021-02-20,Second Class,CU-8399,Customer 174,Corporate,South,Florida,Technology,Accessories,Accessories Product 7,5399.44,6,0.0,1144.99
ORD-1156,2020-12-31,2021-01-04,First Class,CU-4584,Customer 708,Corporate,West,Washington,Furniture,Chairs,Chairs Product 44,550.39,10,0.25,45.36
ORD-1157,2021-09-19,2021-09-29,Standard Class,CU-9556,Customer 134,Consumer,West,California,Technology,Computers,Computers Product 29,289.9,3,0.0,35.38
ORD-1158,2020-02-07,2020-02-15,Second Class,CU-2977,Customer 179,Consumer,South,Florida,Technology,Computers,Computers Product 19,1321.89,5,0.0,181.98
ORD-1159,2019-01-08,2019-01-13,Standard Class,CU-9957,Customer 656,Consumer,East,New York,Technology,Computers,Computers Product 36,7021.23,8,0.1,969.72
ORD-1160,2020-02-10,2020-02-16,Standard Class,CU-5177,Customer 816,Corporate,Central,Illinois,Furniture,Chairs,Chairs Product 68,6971.79,8,0.0,443.03
ORD-1161,2020-11-04,2020-11-09,Second Class,CU-6019,Customer 631,Home Office,West,California,Furniture,Tables,Tables Product 30,2457.04,3,0.0,186.49
ORD-1162,2020-02-12,2020-02-16,Second Class,CU-3744,Customer 531,Home Office,West,Oregon,Office Supplies,Storage,Storage Product 24,3349.69,4,0.0,447.6
ORD-1163,2022-12-29,2023-01-05,Same Day,CU-3815,Customer 406,Consumer,East,New York,Technology,Phones,Phones Product 82,1967.75,2,0.0,327.72
ORD-1164,2021-07-26,2021-08-08,Standard Class,CU-5958,Customer 498,Home Office,Central,Illinois,Furniture,Chairs,Chairs Product 82,4020.91,9,0.0,456.92
ORD-1165,2020-06-20,2020-06-21,Same Day,CU-4752,Customer 526,Consumer,West,Washington,Technology,Phones,Phones Product 86,2049.65,10,0.0,283.79
