date,symbol,open,high,low,close,volume
2020-02-17,AAPL,503.42,505.24,501.17,501.65,21805770
2020-02-18,AAPL,493.19,497.61,489.28,489.93,33163587
2020-02-19,AAPL,496.05,503.13,490.34,496.65,3101787
2020-02-20,AAPL,484.19,487.81,479.75,487.79,14797176
2020-02-21,AAPL,494.72,502.69,490.18,496.08,7480770
2020-02-24,AAPL,505.26,506.8,501.05,506.69,8348780
2020-02-25,AAPL,500.59,507.4,497.05,503.43,43891100
2020-02-26,AAPL,503.93,511.79,500.91,502.21,11841240
2020-02-27,AAPL,504.37,518.53,504.21,509.49,31622809
2020-02-28,AAPL,496.02,502.15,491.34,499.84,39666343
2020-03-02,AAPL,490.15,494.53,490.02,491.43,28526723
2020-03-03,AAPL,495.89,498.74,489.1,491.71,23267637
2020-03-04,AAPL,481.21,482.39,474.97,480.07,8407236
2020-03-05,AAPL,488.02,491.63,481.02,488.9,37857310
2020-03-06,AAPL,492.27,500.27,485.65,495.01,8896591
2020-03-09,AAPL,503.3,509.96,498.05,500.78,36838012
2020-03-10,AAPL,478.45,481.96,473.05,478.75,46215961
2020-03-11,AAPL,465.48,472.6,461.73,467.1,20609441
2020-03-12,AAPL,480.94,483.65,473.26,478.77,23463654
2020-03-13,AAPL,482.11,483.62,480.43,483.22,19662995
2020-03-16,AAPL,492.9,494.65,482.07,487.8,25723580
2020-03-17,AAPL,461.55,472.55,460.38,464.01,30206259
2020-03-18,AAPL,459.76,464.41,452.53,464.17,7407426
2020-03-19,AAPL,465.08,472.78,462.89,463.12,19235397
2020-03-20,AAPL,473.49,475.76,471.48,472.91,9256894
2020-03-23,AAPL,483.12,484.48,482.06,482.32,41753009
2020-03-24,AAPL,469.86,472.61,469.17,469.59,38702840
2020-03-25,AAPL,449.41,449.53,445.57,449.51,31430656
2020-03-26,AAPL,460.91,463.0,454.77,462.66,33576211
2020-03-27,AAPL,447.45,454.45,440.25,449.14,8711305
2020-03-30,AAPL,449.78,458.58,445.86,452.89,28584939
2020-03-31,AAPL,440.99,442.54,435.58,438.76,25576958
2020-04-01,AAPL,421.88,425.49,416.26,422.1,45761350
2020-04-02,AAPL,427.95,432.96,419.82,428.27,5015674
2020-04-03,AAPL,430.69,439.36,429.53,432.31,10588192
2020-04-06,AAPL,426.6,430.86,422.42,423.95,34256818
2020-04-07,AAPL,414.12,415.54,409.52,413.46,43626140
2020-04-08,AAPL,419.89,420.02,417.98,418.81,5111593
2020-04-09,AAPL,423.3,428.97,418.06,423.59,4136760
2020-04-10,AAPL,423.42,428.61,418.31,422.06,34165385
2020-04-13,AAPL,417.66,417.68,417.26,417.4,8415474
2020-04-14,AAPL,434.34,440.66,431.23,434.61,47206571
2020-04-15,AAPL,425.89,428.35,415.04,425.44,1622139
2020-04-16,AAPL,414.56,419.18,396.98,412.59,31770701
2020-04-17,AAPL,422.64,428.23,416.65,419.84,15137101
2020-04-20,AAPL,407.84,414.53,407.31,408.05,31994564
2020-04-21,AAPL,395.61,399.65,385.78,392.87,3325025
2020-04-22,AAPL,398.81,398.84,395.83,397.36,43973134
2020-04-23,AAPL,402.96,407.51,401.0,403.11,29253352
2020-04-24,AAPL,404.08,404.77,400.64,401.79,19975685
2020-04-27,AAPL,396.54,398.35,393.61,395.07,44847029
2020-04-28,AAPL,400.57,403.47,397.46,400.2,8214161
2020-04-29,AAPL,397.28,400.75,389.42,394.1,13400592
2020-04-30,AAPL,392.3,392.58,385.76,391.85,32626034
2020-05-01,AAPL,398.07,401.92,388.57,394.16,4719364
2020-05-04,AAPL,396.26,402.33,393.43,399.14,22674259
2020-05-05,AAPL,399.16,399.71,393.34,398.98,19637216
2020-05-06,AAPL,415.32,421.56,405.38,410.75,38929712
2020-05-07,AAPL,411.3,414.28,400.07,409.47,34593293
2020-05-08,AAPL,404.43,414.87,403.17,408.95,25541243
2020-05-11,AAPL,405.81,410.92,405.07,406.06,23342642
2020-05-12,AAPL,401.44,402.59,394.23,401.06,30768265
2020-05-13,AAPL,406.8,413.96,404.08,409.49,20905328
2020-05-14,AAPL,402.82,404.12,398.42,399.86,8995521
2020-05-15,AAPL,401.09,401.65,395.12,401.03,34401823
2020-05-18,AAPL,421.97,427.63,413.2,421.69,3423831
2020-05-19,AAPL,411.12,414.58,409.04,412.08,7214943
2020-05-20,AAPL,416.8,421.79,413.43,415.84,47886187
2020-05-21,AAPL,406.71,411.73,398.32,407.33,38669304
2020-05-22,AAPL,404.31,407.14,401.55,403.62,2674745
2020-05-25,AAPL,415.66,417.6,411.71,415.01,25575566
2020-05-26,AAPL,429.72,438.04,425.11,427.71,30979940
2020-05-27,AAPL,423.05,426.85,420.94,424.95,35962498
2020-05-28,AAPL,426.85,437.69,420.1,424.93,31490405
2020-05-29,AAPL,425.51,432.35,419.83,427.1,23429843
2020-06-01,AAPL,425.34,437.79,419.88,425.42,29394459
2020-06-02,AAPL,422.88,427.91,421.21,423.84,6984745
2020-06-03,AAPL,415.49,417.58,412.51,413.6,47970338
2020-06-04,AAPL,414.47,417.77,412.43,416.55,10471569
2020-06-05,AAPL,427.54,428.18,416.53,425.25,31175647
2020-06-08,AAPL,438.44,449.4,430.22,437.64,8194815
2020-06-09,AAPL,439.29,442.76,429.92,435.98,5852085
2020-06-10,AAPL,426.14,435.79,423.94,427.9,41338517
2020-06-11,AAPL,434.83,437.2,427.4,437.03,21269612
2020-06-12,AAPL,421.82,427.5,416.7,423.01,9011849
2020-06-15,AAPL,425.32,434.5,424.85,429.56,41364230
2020-06-16,AAPL,433.04,433.87,429.47,429.58,35560062
2020-06-17,AAPL,417.73,421.07,415.05,418.46,44914997
2020-06-18,AAPL,425.47,430.07,424.5,426.84,13924510
2020-06-19,AAPL,432.96,446.63,427.49,429.65,38102221
2020-06-22,AAPL,430.98,432.11,429.64,431.87,26276883
2020-06-23,AAPL,444.95,448.83,439.59,445.37,49362551
2020-06-24,AAPL,447.45,451.52,441.79,449.59,43598269
2020-06-25,AAPL,452.27,452.42,449.6,451.3,28577188
2020-06-26,AAPL,445.03,455.98,440.42,447.8,43706154
2020-06-29,AAPL,467.74,475.16,458.49,465.41,31065920
2020-06-30,AAPL,469.52,474.56,467.7,473.12,48355552
2020-07-01,AAPL,463.64,475.64,459.91,467.1,27611280
2020-07-02,AAPL,466.87,469.15,463.52,467.62,35175072
2020-07-03,AAPL,471.19,475.78,461.09,474.91,49612355
2020-07-06,AAPL,474.14,474.35,472.9,473.29,39837568
2020-07-07,AAPL,478.95,487.06,473.13,477.51,30040387
2020-07-08,AAPL,464.8,469.28,454.58,460.37,9051939
2020-07-09,AAPL,458.6,470.03,458.09,460.89,35379248
2020-07-10,AAPL,455.44,457.92,449.63,456.6,24176958
2020-07-13,AAPL,459.55,466.51,456.91,461.14,27581346
2020-07-14,AAPL,461.09,461.26,458.77,460.06,26878469
2020-07-15,AAPL,472.14,480.94,465.19,469.17,13752714
2020-07-16,AAPL,469.34,472.89,466.93,470.54,32659525
2020-07-17,AAPL,500.08,511.16,491.44,500.27,38083283
2020-07-20,AAPL,507.6,511.56,505.78,508.84,7626148
2020-07-21,AAPL,518.25,529.36,514.28,520.67,25363116
2020-07-22,AAPL,511.67,516.5,507.87,511.53,1893965
2020-07-23,AAPL,499.29,505.04,495.73,503.87,3425097
2020-07-24,AAPL,493.99,501.79,485.62,494.26,10446119
2020-07-27,AAPL,486.73,495.39,485.53,489.2,35221907
2020-07-28,AAPL,494.52,498.96,491.48,493.45,26561127
2020-07-29,AAPL,487.77,492.15,482.12,488.77,10534267
2020-07-30,AAPL,497.96,500.67,494.8,498.75,37163121
2020-07-31,AAPL,504.86,508.45,499.67,500.34,18066914
2020-08-03,AAPL,506.41,506.93,497.35,505.22,24111453
2020-08-04,AAPL,518.42,525.76,517.18,519.22,3195541
2020-08-05,AAPL,539.08,548.54,528.78,533.3,10006101
2020-08-06,AAPL,534.58,538.91,529.77,534.89,46496045
2020-08-07,AAPL,545.43,550.67,543.4,545.9,2189848
2020-08-10,AAPL,555.15,555.39,548.58,553.12,31523213
2020-08-11,AAPL,557.49,558.06,552.46,554.88,44120021
2020-08-12,AAPL,555.26,563.46,549.17,553.22,13500989
2020-08-13,AAPL,568.94,575.37,564.05,570.39,45491817
2020-08-14,AAPL,562.67,575.14,556.39,570.09,29491113
2020-08-17,AAPL,559.99,560.2,552.18,558.48,44345590
2020-08-18,AAPL,542.72,546.71,540.33,546.14,45417175
2020-08-19,AAPL,550.83,558.75,548.75,552.49,17569152
2020-08-20,AAPL,546.05,551.86,545.13,551.38,6699745
2020-08-21,AAPL,541.56,546.15,532.33,543.87,24205737
2020-08-24,AAPL,538.16,550.97,533.07,539.54,10560800
2020-08-25,AAPL,545.91,547.05,537.07,544.52,9988053
2020-08-26,AAPL,546.2,546.75,537.47,543.64,13177445
2020-08-27,AAPL,536.22,540.82,534.04,535.66,12063265
2020-08-28,AAPL,551.23,562.55,549.73,551.36,13529312
2020-08-31,AAPL,576.59,577.58,568.05,572.88,3338434
2020-09-01,AAPL,577.24,584.73,572.99,574.47,27590952
2020-09-02,AAPL,567.64,577.61,565.88,571.07,20980489
2020-09-03,AAPL,584.53,585.07,569.67,579.99,20150320
2020-09-04,AAPL,557.2,565.34,547.58,555.79,38610884
2020-09-07,AAPL,560.24,561.49,551.5,556.14,32863553
2020-09-08,AAPL,567.37,570.09,557.76,566.41,17404177
2020-09-09,AAPL,561.89,565.1,559.38,563.49,43880477
2020-09-10,AAPL,599.05,603.78,593.91,595.99,6450166
2020-09-11,AAPL,603.42,609.22,596.86,607.26,20448896
2020-09-14,AAPL,581.31,585.66,571.25,576.81,5580064
2020-09-15,AAPL,556.84,563.35,556.21,557.43,49155933
2020-09-16,AAPL,539.03,546.63,528.2,535.94,22848508
2020-09-17,AAPL,527.92,538.94,516.84,529.41,40310714
2020-09-18,AAPL,553.67,559.0,543.52,548.16,30408952
2020-09-21,AAPL,566.91,570.86,553.9,560.78,6864280
2020-09-22,AAPL,549.54,558.8,549.29,551.63,10236821
2020-09-23,AAPL,546.74,552.98,542.02,545.69,24694747
2020-09-24,AAPL,545.05,555.54,534.63,538.46,46564660
2020-09-25,AAPL,534.25,541.69,533.01,534.01,11314694
2020-09-28,AAPL,536.54,547.79,535.67,541.01,44272093
2020-09-29,AAPL,558.07,561.58,552.2,554.65,34863786
2020-09-30,AAPL,557.57,566.01,554.4,561.38,22457174
2020-10-01,AAPL,574.23,576.58,571.12,572.53,40103733
2020-10-02,AAPL,569.79,579.93,567.51,574.62,7587066
2020-10-05,AAPL,557.43,562.01,557.38,561.07,35309626
2020-10-06,AAPL,579.01,582.68,574.82,578.78,47616070
2020-10-07,AAPL,571.64,573.6,568.5,571.45,46190266
2020-10-08,AAPL,577.73,587.93,576.39,579.14,27446090
2020-10-09,AAPL,565.15,568.43,559.7,563.12,35646583
2020-10-12,AAPL,565.02,567.81,564.11,564.21,9341466
2020-10-13,AAPL,557.76,560.33,554.7,558.59,15572242
2020-10-14,AAPL,562.63,564.49,558.52,564.26,16570177
2020-10-15,AAPL,575.0,580.02,567.25,576.1,34400507
2020-10-16,AAPL,568.61,570.45,557.5,567.87,27038419
2020-10-19,AAPL,569.11,580.23,567.8,573.79,4227142
2020-10-20,AAPL,576.01,578.55,567.05,574.95,30367062
2020-10-21,AAPL,566.49,574.12,565.29,567.76,43248262
2020-10-22,AAPL,577.91,581.36,576.86,580.4,28711647
2020-10-23,AAPL,597.3,598.72,594.33,595.07,18730191
2020-10-26,AAPL,606.89,608.59,600.85,606.96,34389083
2020-10-27,AAPL,609.64,618.61,600.05,611.76,7046671
2020-10-28,AAPL,593.27,598.14,583.15,592.03,25712994
2020-10-29,AAPL,583.46,587.19,571.82,581.27,4383486
2020-10-30,AAPL,586.07,590.47,570.69,583.42,39441408
2020-11-02,AAPL,580.08,584.72,573.48,578.91,49831554
2020-11-03,AAPL,575.1,580.41,566.14,577.91,32846428
2020-11-04,AAPL,596.1,597.28,587.34,597.06,12801600
2020-11-05,AAPL,588.35,597.52,582.28,588.64,26904491
2020-11-06,AAPL,591.19,591.27,571.31,586.5,5830252
2020-11-09,AAPL,593.79,594.38,582.03,591.15,41768235
2020-11-10,AAPL,597.45,600.04,593.37,594.54,39460803
2020-11-11,AAPL,579.41,583.93,573.3,575.9,47844385
2020-11-12,AAPL,575.41,576.49,572.28,573.47,22365000
2020-11-13,AAPL,589.43,595.84,577.34,587.87,27903835
2020-11-16,AAPL,588.83,591.1,585.08,588.3,10737034
2020-11-17,AAPL,585.44,592.39,585.12,586.87,6182178
2020-11-18,AAPL,584.44,596.23,583.03,583.8,48801864
2020-11-19,AAPL,585.25,590.06,573.06,586.06,8254078
2020-11-20,AAPL,604.96,612.88,593.23,602.3,14113833
2020-11-23,AAPL,611.84,623.78,610.56,615.18,46018329
2020-11-24,AAPL,600.78,606.15,598.11,603.79,43185212
2020-11-25,AAPL,615.93,626.11,611.34,619.37,37515631
2020-11-26,AAPL,610.74,612.54,603.43,608.62,21011817
2020-11-27,AAPL,592.16,593.43,585.5,592.57,13223672
2020-11-30,AAPL,577.16,590.72,570.62,583.3,7449100
2020-12-01,AAPL,578.96,583.35,565.22,574.97,33095360
2020-12-02,AAPL,592.02,595.72,589.91,591.76,47668458
2020-12-03,AAPL,593.66,600.4,588.54,595.49,14088631
2020-12-04,AAPL,586.78,588.9,586.1,586.36,30162749
2020-12-07,AAPL,581.82,588.76,576.47,587.48,33348458
2020-12-08,AAPL,593.76,595.49,591.58,592.96,18845104
2020-12-09,AAPL,604.44,611.25,593.89,600.71,24702415
2020-12-10,AAPL,601.64,615.36,600.13,606.5,25467049
2020-12-11,AAPL,601.52,606.71,590.45,598.05,25261941
2020-12-14,AAPL,608.49,614.79,602.16,611.64,2733557
2020-12-15,AAPL,624.58,633.23,614.29,629.49,11157689
2020-12-16,AAPL,627.31,633.96,624.45,631.26,15951648
2020-12-17,AAPL,631.89,642.45,622.16,634.74,36376792
2020-12-18,AAPL,629.26,630.83,625.17,630.22,41173164
2020-12-21,AAPL,621.78,629.91,619.54,623.9,45572952
2020-12-22,AAPL,621.1,621.6,611.47,616.41,25154910
2020-12-23,AAPL,613.59,617.92,604.54,610.55,7892643
2020-12-24,AAPL,605.05,617.52,599.71,611.98,24717803
2020-12-25,AAPL,610.43,625.07,606.34,611.39,33224540
2020-12-28,AAPL,607.82,613.9,590.22,603.29,2715416
2020-12-29,AAPL,600.36,603.82,599.76,603.1,36552938
2020-12-30,AAPL,603.77,610.12,599.41,603.76,46663075
2020-12-31,AAPL,606.84,625.84,606.03,609.99,18021406
2021-01-01,AAPL,605.03,606.78,597.79,605.03,49980949
2021-01-04,AAPL,591.91,594.85,586.44,592.84,43547012
2021-01-05,AAPL,591.92,592.12,583.02,587.14,21156054
2021-01-06,AAPL,589.43,592.59,583.39,592.35,16359261
2021-01-07,AAPL,599.88,602.55,594.56,596.64,47465814
2021-01-08,AAPL,576.38,584.35,573.71,573.81,5983808
2021-01-11,AAPL,571.22,575.1,569.37,569.73,43870290
2021-01-12,AAPL,560.36,562.27,555.77,560.34,12045407
2021-01-13,AAPL,568.83,572.24,560.0,567.28,17944886
2021-01-14,AAPL,549.38,555.56,547.58,548.61,44056760
2021-01-15,AAPL,541.93,547.08,539.6,542.57,40426336
2021-01-18,AAPL,534.79,539.91,533.66,534.63,39395692
2021-01-19,AAPL,516.54,518.45,514.21,517.41,38356140
2021-01-20,AAPL,534.25,542.74,530.98,531.8,27096419
2021-01-21,AAPL,525.87,531.89,522.85,525.17,24493118
2021-01-22,AAPL,505.67,513.17,505.42,506.36,46632071
2021-01-25,AAPL,500.94,502.56,496.07,497.96,8598836
2021-01-26,AAPL,498.89,502.25,494.99,502.17,49504477
2021-01-27,AAPL,492.67,497.34,490.87,494.13,38882081
2021-01-28,AAPL,492.31,492.34,484.71,490.29,19633978
2021-01-29,AAPL,494.94,498.02,489.77,491.43,19398899
2021-02-01,AAPL,480.58,487.4,474.68,480.83,42664072
2021-02-02,AAPL,492.92,498.42,489.12,491.4,23287533
2021-02-03,AAPL,484.5,489.09,474.01,482.19,15827147
2021-02-04,AAPL,487.65,493.42,482.64,486.53,2910453
2021-02-05,AAPL,492.95,498.07,492.63,494.02,8604102
2021-02-08,AAPL,485.98,489.76,483.84,485.08,22643931
2021-02-09,AAPL,483.72,485.28,479.66,484.62,13408727
2021-02-10,AAPL,484.57,489.93,475.19,483.35,7922198
2021-02-11,AAPL,489.36,490.69,477.89,489.55,4712772
2021-02-12,AAPL,488.0,493.84,485.19,492.13,14069390
2021-02-15,AAPL,497.2,502.95,495.74,498.88,40280072
2021-02-16,AAPL,497.47,505.12,491.95,497.91,34807374
2021-02-17,AAPL,507.62,516.99,497.73,504.0,36255458
2021-02-18,AAPL,492.53,497.32,487.29,492.35,34839465
2021-02-19,AAPL,482.61,486.62,474.26,485.12,13773870
2021-02-22,AAPL,463.88,463.98,456.53,462.69,32464851
2021-02-23,AAPL,451.77,454.57,444.27,450.96,30349708
2021-02-24,AAPL,454.27,462.26,451.46,456.21,34459829
2021-02-25,AAPL,448.06,448.44,447.49,448.1,4707682
2021-02-26,AAPL,443.49,451.74,443.32,445.19,30775558
2021-03-01,AAPL,438.9,445.11,433.88,441.77,49944758
2021-03-02,AAPL,456.71,458.82,456.39,456.96,30624753
2021-03-03,AAPL,443.72,446.93,441.39,446.0,24870113
2021-03-04,AAPL,454.63,457.17,448.76,452.45,2053587
2021-03-05,AAPL,450.28,453.97,446.65,448.62,34546056
2021-03-08,AAPL,457.57,460.13,450.36,455.83,49659982
2021-03-09,AAPL,464.27,466.27,457.75,465.11,38152526
2021-03-10,AAPL,483.89,486.02,472.14,481.22,31893776
2021-03-11,AAPL,462.31,470.04,458.85,468.15,34208429
2021-03-12,AAPL,466.03,467.83,458.66,464.25,1148971
2021-03-15,AAPL,456.99,460.39,448.77,454.18,10525108
2021-03-16,AAPL,448.92,452.08,445.38,448.31,31429760
2021-03-17,AAPL,440.89,451.57,434.49,446.91,4049554
2021-03-18,AAPL,440.36,443.55,432.19,439.13,36885076
2021-03-19,AAPL,447.32,447.56,441.08,445.95,2885329
2021-03-22,AAPL,447.36,452.22,443.29,448.62,23387456
2021-03-23,AAPL,453.37,456.43,443.37,450.48,8491972
2021-03-24,AAPL,450.45,453.92,443.25,444.96,15944797
2021-03-25,AAPL,435.35,444.43,434.79,434.93,47203772
2021-03-26,AAPL,436.31,440.37,434.65,435.76,15478792
2021-03-29,AAPL,447.27,449.41,441.86,446.68,29524742
2021-03-30,AAPL,445.61,453.62,443.59,449.36,11863798
2021-03-31,AAPL,454.35,456.77,448.19,452.2,27782513
2021-04-01,AAPL,443.93,449.17,441.29,443.6,31125328
2021-04-02,AAPL,443.17,446.81,439.22,446.72,7743332
2021-04-05,AAPL,447.81,449.84,441.43,449.64,30656651
2021-04-06,AAPL,436.91,437.33,436.0,436.54,3623904
2021-04-07,AAPL,445.35,447.15,437.15,442.31,42261915
2021-04-08,AAPL,438.65,446.86,437.77,441.42,22485357
2021-04-09,AAPL,442.59,447.52,439.29,445.15,34812846
2021-04-12,AAPL,444.98,447.47,442.53,442.96,36325763
2021-04-13,AAPL,450.45,456.47,444.95,450.2,6747682
2021-04-14,AAPL,442.16,443.13,429.07,439.33,21332315
2021-04-15,AAPL,434.97,439.33,431.32,435.49,8978073
2021-04-16,AAPL,425.05,427.98,421.09,423.65,25610434
2021-04-19,AAPL,404.4,413.31,401.29,408.32,2117088
2021-04-20,AAPL,403.74,406.54,402.73,405.84,3780404
2021-04-21,AAPL,409.42,411.72,409.07,410.7,43998088
2021-04-22,AAPL,406.11,407.1,405.49,406.48,39297639
2021-04-23,AAPL,404.49,406.91,401.66,404.88,21652788
2021-04-26,AAPL,398.44,403.58,393.17,399.7,44585636
2021-04-27,AAPL,403.99,410.94,402.6,408.38,44984187
2021-04-28,AAPL,401.73,405.54,397.5,400.14,12055709
2021-04-29,AAPL,399.42,406.0,397.35,397.76,33515136
2021-04-30,AAPL,411.04,411.18,408.76,410.25,20917034
2021-05-03,AAPL,416.41,419.06,410.41,418.66,42109183
2021-05-04,AAPL,407.32,412.19,405.53,409.68,41766525
2021-05-05,AAPL,412.11,415.89,411.14,411.98,40708162
2021-05-06,AAPL,420.97,429.33,420.22,422.8,49605132
2021-05-07,AAPL,408.13,410.49,404.09,409.2,43410542
2021-05-10,AAPL,414.36,416.38,406.84,412.81,26265123
2021-05-11,AAPL,421.08,425.65,417.69,419.65,31052497
2021-05-12,AAPL,424.46,430.1,421.56,422.06,8764914
2021-05-13,AAPL,435.26,448.37,432.84,439.03,7888542
2021-05-14,AAPL,439.72,443.19,435.01,439.31,26483104
2021-05-17,AAPL,426.78,432.61,425.54,428.73,7787920
2021-05-18,AAPL,424.42,428.18,421.31,423.14,11298841
2021-05-19,AAPL,420.06,422.25,415.74,418.95,29300058
2021-05-20,AAPL,427.43,431.33,423.4,425.99,12557174
2021-05-21,AAPL,425.37,426.96,416.51,426.63,24800517
2021-05-24,AAPL,438.51,446.97,430.5,440.22,33768084
2021-05-25,AAPL,440.36,445.64,437.68,439.77,34931032
2021-05-26,AAPL,431.02,435.68,430.37,432.61,15795550
2021-05-27,AAPL,440.31,450.54,438.99,439.25,3471140
2021-05-28,AAPL,442.65,451.17,439.49,443.49,18787588
2021-05-31,AAPL,447.84,460.27,444.76,451.17,23345134
2021-06-01,AAPL,458.48,458.92,453.68,458.06,29866230
2021-06-02,AAPL,462.35,464.6,451.47,456.36,43471336
2021-06-03,AAPL,472.57,478.02,465.36,468.6,49882118
2021-06-04,AAPL,475.63,480.68,467.96,475.79,8684204
2021-06-07,AAPL,482.2,489.62,476.59,487.05,18065146
2021-06-08,AAPL,476.22,478.65,475.8,477.77,13707111
2021-06-09,AAPL,480.13,490.33,477.92,484.22,22828012
2021-06-10,AAPL,481.39,486.01,476.54,483.48,28977406
2021-06-11,AAPL,500.94,502.41,493.5,500.87,21870383
2021-06-14,AAPL,484.86,485.17,482.8,483.05,12432462
2021-06-15,AAPL,478.97,481.31,475.36,478.48,22847291
2021-06-16,AAPL,474.64,477.11,471.86,472.78,29873076
2021-06-17,AAPL,465.07,470.37,461.62,469.42,9246405
2021-06-18,AAPL,473.51,475.78,473.23,475.21,45762501
2021-06-21,AAPL,466.44,470.95,457.44,462.16,10486718
2021-06-22,AAPL,466.19,474.58,458.76,467.77,34777089
2021-06-23,AAPL,458.46,461.98,449.19,460.57,12537559
2021-06-24,AAPL,455.02,459.92,454.54,457.34,13626355
2021-06-25,AAPL,458.56,462.01,452.25,457.99,15219788
2021-06-28,AAPL,436.91,437.26,433.27,436.55,28293821
2021-06-29,AAPL,427.6,427.94,418.39,427.16,9413720
2021-06-30,AAPL,410.56,413.64,407.67,409.12,42232138
2021-07-01,AAPL,406.19,408.28,404.02,404.13,43584518
2021-07-02,AAPL,408.9,416.15,407.87,411.8,48404531
2021-07-05,AAPL,405.61,409.93,395.0,405.16,20429946
2021-07-06,AAPL,406.63,407.26,401.24,403.87,33815145
2021-07-07,AAPL,397.66,402.06,387.7,394.3,49834054
2021-07-08,AAPL,392.31,400.51,392.13,394.31,41502773
2021-07-09,AAPL,395.0,396.15,392.37,395.05,44562727
2021-07-12,AAPL,388.5,395.1,387.47,387.53,3130611
2021-07-13,AAPL,392.17,397.21,386.78,390.34,14850814
2021-07-14,AAPL,395.04,399.63,392.97,396.66,21294194
2021-07-15,AAPL,402.23,403.44,399.31,401.88,14402015
2021-07-16,AAPL,408.6,418.19,405.88,407.54,49861154
2021-07-19,AAPL,408.94,411.59,406.75,408.73,1760442
2021-07-20,AAPL,415.25,423.39,411.48,413.44,41063427
2021-07-21,AAPL,417.72,420.96,406.58,415.21,44248354
2021-07-22,AAPL,425.86,433.29,424.12,429.68,45838816
2021-07-23,AAPL,436.64,440.26,436.11,438.39,33526809
2021-07-26,AAPL,442.77,446.5,434.33,438.78,6667999
2021-07-27,AAPL,447.54,452.26,444.9,447.25,13304402
2021-07-28,AAPL,450.22,454.43,446.38,448.03,10472317
2021-07-29,AAPL,428.71,429.8,423.2,425.31,34182438
2021-07-30,AAPL,413.42,420.11,406.03,414.33,23608353
2021-08-02,AAPL,428.04,430.45,425.66,425.77,29605928
2021-08-03,AAPL,429.32,430.39,426.21,429.55,3893202
2021-08-04,AAPL,433.51,437.15,432.19,433.82,6193324
2021-08-05,AAPL,431.63,435.94,425.71,429.43,44728850
2021-08-06,AAPL,434.17,438.13,430.54,434.04,3494453
2021-08-09,AAPL,421.92,424.75,419.82,423.06,29363682
2021-08-10,AAPL,414.0,422.6,405.74,414.42,15389738
2021-08-11,AAPL,411.67,419.03,405.24,411.22,46205690
2021-08-12,AAPL,414.49,424.84,411.81,414.91,32611248
2021-08-13,AAPL,417.6,419.46,413.38,417.66,19828968
2021-08-16,AAPL,415.22,418.17,414.67,417.97,11405485
2021-08-17,AAPL,420.78,424.67,414.97,420.66,27249771
2021-08-18,AAPL,430.72,436.77,426.63,427.3,44753084
2021-08-19,AAPL,435.45,440.32,435.12,436.45,44840663
2021-08-20,AAPL,427.19,432.31,425.25,426.37,12528206
2021-08-23,AAPL,431.65,431.94,429.01,431.14,23157640
2021-08-24,AAPL,435.28,436.39,432.39,435.75,10072044
2021-08-25,AAPL,422.74,427.49,416.28,424.17,18174648
2021-08-26,AAPL,431.52,434.61,425.41,431.1,37954671
2021-08-27,AAPL,420.62,426.44,413.7,424.37,25684523
2021-08-30,AAPL,424.14,428.44,421.08,421.23,21890055
2021-08-31,AAPL,418.22,419.6,416.55,416.96,43223162
2021-09-01,AAPL,419.87,422.56,416.55,422.27,29756379
